,AtBat,Inning,Batter,Pitcher,Outs,Bases,Score,Play,PitchSeq,lastEvent,LI,RE,WE,WPA,RE24,Year,Game,InningNum
5315,15,▼ 2,T Ishikawa,J Shields,0,12_,0-0,Travis Ishikawa flied out to center. Hunter Pence advanced to 3B. Brandon Belt advanced to 2B.,"Foul Ball, Ball, Swinging Strike, Ball, Foul Ball, Ball, Fly Out",Fly Out,2.28,1.32,65.0%,0.002,-0.05,2014,5, 2
5316,16,▼ 2,B Crawford,J Shields,1,_23,0-0,Brandon Crawford grounded out to second. Hunter Pence scored. Brandon Belt advanced to 3B.,"Foul Ball, Ball, Ball, Swinging Strike, Ball, Ground Out",Ground Out,1.87,1.28,66.9%,0.019,0.03,2014,5, 2
5317,17,▼ 2,M Bumgarner,J Shields,2,__3,1-0,Madison Bumgarner grounded out to third.,"Swinging Strike, Swinging Strike, Ground Out",Ground Out,1.24,0.3,63.8%,-0.031,-0.3,2014,5, 2
5318,18,▲ 3,J Shields,M Bumgarner,0,___,1-0,James Shields flied out to center.,"Called Strike, Foul Tip, Fly Out",Fly Out,1.05,0.38,66.2%,-0.025,-0.18,2014,5, 3
5319,19,▲ 3,A Escobar,M Bumgarner,1,___,1-0,Alcides Escobar flied out to center.,"Called Strike, Ball, Ball, Fly Out",Fly Out,0.71,0.19,67.8%,-0.016,-0.12,2014,5, 3
5320,20,▲ 3,A Gordon,M Bumgarner,2,___,1-0,Alex Gordon out on a dropped third strike.,"Foul Ball, Called Strike, Foul Ball, Ball, Dropped Third Strike",Dropped Third Strike,0.44,0.08,68.9%,-0.01,-0.07,2014,5, 3
5321,21,▼ 3,G Blanco,J Shields,0,___,1-0,Gregor Blanco flied out to left.,Fly Out,Fly Out,0.74,0.38,67.2%,-0.017,-0.18,2014,5, 3
5322,22,▼ 3,J Panik,J Shields,1,___,1-0,Joe Panik grounded out to shortstop.,"Called Strike, Ball, Ground Out",Ground Out,0.51,0.19,66.0%,-0.012,-0.12,2014,5, 3
5323,23,▼ 3,B Posey,J Shields,2,___,1-0,Buster Posey grounded out to second.,"Called Strike, Foul Ball, Ground Out",Ground Out,0.34,0.08,65.2%,-0.008,-0.07,2014,5, 3
5324,24,▲ 4,L Cain,M Bumgarner,0,___,1-0,Lorenzo Cain grounded out to shortstop.,"Called Strike, Foul Tip, Ball, Foul Ball, Ground Out",Ground Out,1.16,0.38,67.9%,-0.027,-0.18,2014,5, 4
5325,25,▲ 4,E Hosmer,M Bumgarner,1,___,1-0,Eric Hosmer grounded out to third.,"Called Strike, Ball, Foul Ball, Ground Out",Ground Out,0.78,0.19,69.7%,-0.018,-0.12,2014,5, 4
5326,26,▲ 4,S Perez,M Bumgarner,2,___,1-0,Salvador Perez grounded out to first.,Ground Out,Ground Out,0.49,0.08,70.8%,-0.012,-0.07,2014,5, 4
5327,27,▼ 4,P Sandoval,J Shields,0,___,1-0,Pablo Sandoval singled to left (Grounder).,"Swinging Strike, Single",Single,0.75,0.38,74.0%,0.032,0.36,2014,5, 4
5328,28,▼ 4,H Pence,J Shields,0,1__,1-0,Hunter Pence struck out swinging.,"Ball, Swinging Strike, Foul Ball, Ball, Strikeout Swinging",Strikeout,1.34,0.73,71.1%,-0.028,-0.31,2014,5, 4
5329,29,▼ 4,B Belt,J Shields,1,1__,1-0,Brandon Belt struck out swinging.,"Ball, Swinging Strike, Ball, Foul Ball, Strikeout Swinging",Strikeout,1.03,0.42,68.9%,-0.023,-0.24,2014,5, 4
5330,30,▼ 4,T Ishikawa,J Shields,2,1__,1-0,Travis Ishikawa singled to left (Grounder). Pablo Sandoval advanced to 2B.,"Ball, Single",Single,0.71,0.18,70.6%,0.017,0.19,2014,5, 4
5331,31,▼ 4,B Crawford,J Shields,2,12_,1-0,Brandon Crawford singled to center (Liner). Pablo Sandoval scored. Travis Ishikawa advanced to 2B.,"Swinging Strike, Ball, Swinging Strike, Ball, Single",Single,1.5,0.37,81.7%,0.111,1.0,2014,5, 4
5332,32,▼ 4,M Bumgarner,J Shields,2,12_,2-0,Madison Bumgarner struck out swinging.,"Called Strike, Swinging Strike, Ball, Strikeout Swinging",Strikeout,0.98,0.37,79.4%,-0.023,-0.37,2014,5, 4
5333,33,▲ 5,M Moustakas,M Bumgarner,0,___,2-0,Mike Moustakas lined out to shortstop.,Line Drive,Line Out,1.07,0.38,81.9%,-0.025,-0.18,2014,5, 5
5334,34,▲ 5,O Infante,M Bumgarner,1,___,2-0,Omar Infante doubled to center (Liner).,"Called Strike, Ball, Ball, Double",Double,0.7,0.19,76.8%,0.052,0.39,2014,5, 5
5335,35,▲ 5,J Dyson,M Bumgarner,1,_2_,2-0,Jarrod Dyson struck out swinging.,"Called Strike, Foul Ball, Foul Ball, Ball, Strikeout Swinging",Strikeout,1.63,0.58,81.0%,-0.042,-0.31,2014,5, 5
5336,36,▲ 5,J Shields,M Bumgarner,2,_2_,2-0,James Shields out on a dropped third strike.,"Ball, Swinging Strike, Called Strike, Dropped Third Strike",Dropped Third Strike,1.35,0.27,84.5%,-0.035,-0.27,2014,5, 5
5337,37,▼ 5,G Blanco,J Shields,0,___,2-0,Gregor Blanco grounded out to second.,"Called Strike, Swinging Strike, Ball, Ground Out",Ground Out,0.45,0.38,83.4%,-0.01,-0.18,2014,5, 5
5338,38,▼ 5,J Panik,J Shields,1,___,2-0,Joe Panik singled to center (Grounder).,"Called Strike, Swinging Strike, Ball, Single",Single,0.31,0.19,84.7%,0.012,0.23,2014,5, 5
5339,39,▼ 5,J Panik,J Shields,1,1__,2-0,Joe Panik advanced on a wild pitch to 2B.,,Stolen Base,0.61,0.42,85.8%,0.011,0.16,2014,5, 5
5340,40,▼ 5,B Posey,J Shields,1,_2_,2-0,Buster Posey walked.,"Ball, (Wild Pitch), Ball, Ball, Walked",Walk,0.69,0.58,86.5%,0.007,0.2,2014,5, 5
5341,41,▼ 5,P Sandoval,J Shields,1,12_,2-0,Pablo Sandoval struck out swinging.,"Swinging Strike, Foul Ball, Ball, Strikeout Swinging",Strikeout,1.03,0.78,84.3%,-0.021,-0.41,2014,5, 5
5342,42,▼ 5,H Pence,J Shields,2,12_,2-0,Hunter Pence flied out to right.,Fly Out,Fly Out,0.9,0.37,82.2%,-0.021,-0.37,2014,5, 5
5343,43,▲ 6,A Escobar,M Bumgarner,0,___,2-0,Alcides Escobar fouled out to catcher.,"Ball, Foul Fly Out",Foul Fly Out,1.14,0.38,84.9%,-0.027,-0.18,2014,5, 6
5344,44,▲ 6,A Gordon,M Bumgarner,1,___,2-0,Alex Gordon flied out to shortstop.,"Swinging Strike, Ball, Ball, Foul Tip, Ball, Fly Out",Fly Out,0.74,0.19,86.6%,-0.017,-0.12,2014,5, 6
5345,45,▲ 6,L Cain,M Bumgarner,2,___,2-0,Lorenzo Cain flied out to left.,"Called Strike, Ball, Foul Ball, Foul Ball, Foul Ball, Ball, Ball, Fly Out",Fly Out,0.42,0.08,87.6%,-0.01,-0.07,2014,5, 6
5346,46,▼ 6,B Belt,J Shields,0,___,2-0,Brandon Belt flied out to left.,"Ball, Ball, Fly Out",Fly Out,0.39,0.38,86.7%,-0.009,-0.18,2014,5, 6
5347,47,▼ 6,T Ishikawa,J Shields,1,___,2-0,Travis Ishikawa singled to right (Liner).,"Called Strike, Swinging Strike, Foul Ball, Ball, Single",Single,0.27,0.19,87.7%,0.011,0.23,2014,5, 6
5348,48,▼ 6,B Crawford,J Shields,1,1__,2-0,Brandon Crawford grounded out to pitcher. Juan Perez advanced to 2B.,"Pickoff Throw (First Base), Called Strike, Foul Ball, Ball, Ball, Ground Out",Ground Out,0.52,0.42,87.2%,-0.006,-0.15,2014,5, 6
5349,49,▼ 6,M Bumgarner,J Shields,2,_2_,2-0,Madison Bumgarner flied out to third.,Fly Out,Fly Out,0.59,0.27,85.6%,-0.015,-0.27,2014,5, 6
5350,50,▲ 7,E Hosmer,M Bumgarner,0,___,2-0,Eric Hosmer singled to right (Grounder).,"Foul Ball, Ball, Single",Single,1.21,0.38,79.7%,0.059,0.36,2014,5, 7
5351,51,▲ 7,S Perez,M Bumgarner,0,1__,2-0,Salvador Perez flied out to left.,"Called Strike, Fly Out",Fly Out,2.41,0.73,84.7%,-0.05,-0.31,2014,5, 7
5352,52,▲ 7,M Moustakas,M Bumgarner,1,1__,2-0,Mike Moustakas flied out to center.,"Called Strike, Swinging Strike, Foul Ball, Fly Out",Fly Out,1.69,0.42,88.5%,-0.037,-0.24,2014,5, 7
5353,53,▲ 7,O Infante,M Bumgarner,2,1__,2-0,Omar Infante grounded out to third.,"Ball, Called Strike, Ball, Swinging Strike, Ball, Ground Out",Ground Out,1.05,0.18,91.2%,-0.027,-0.18,2014,5, 7
5354,54,▼ 7,G Blanco,K Herrera,0,___,2-0,Gregor Blanco grounded out to first.,"Called Strike, Called Strike, Foul Ball, Ball, Foul Ball, Ball, Ground Out",Ground Out,0.29,0.38,90.5%,-0.007,-0.18,2014,5, 7
5355,55,▼ 7,J Panik,K Herrera,1,___,2-0,Joe Panik walked.,"Ball, Ball, Ball, Called Strike, Foul Ball, Foul Ball, Walked",Walk,0.2,0.19,91.3%,0.008,0.23,2014,5, 7
5356,56,▼ 7,B Posey,K Herrera,1,1__,2-0,Buster Posey grounded into a double play to second (Grounder). Joe Panik out at second.,"Foul Ball, Ball, Foul Ball, Grounded Into Double Play",Grounded Into Double Play,0.4,0.42,89.7%,-0.016,-0.42,2014,5, 7
5357,57,▲ 8,B Butler,M Bumgarner,0,___,2-0,Billy Butler struck out looking.,"Called Strike, Foul Ball, Strikeout Looking",Strikeout,1.26,0.38,92.7%,-0.029,-0.18,2014,5, 8
5358,58,▲ 8,J Nix,M Bumgarner,1,___,2-0,Jayson Nix flied out to left.,"Ball, Foul Ball, Ball, Ball, Fly Out",Fly Out,0.78,0.19,94.4%,-0.018,-0.12,2014,5, 8
5359,59,▲ 8,A Escobar,M Bumgarner,2,___,2-0,Alcides Escobar flied out to center.,"Called Strike, Ball, Swinging Strike, Fly Out",Fly Out,0.41,0.08,95.4%,-0.01,-0.07,2014,5, 8
5360,60,▼ 8,P Sandoval,K Herrera,0,___,2-0,Pablo Sandoval singled to center (Grounder).,"Ball, Swinging Strike, Single",Single,0.16,0.38,96.1%,0.007,0.36,2014,5, 8
5361,61,▼ 8,H Pence,K Herrera,0,1__,2-0,Hunter Pence singled to left (Grounder). Pablo Sandoval advanced to 2B.,"Swinging Strike, Foul Ball, Single",Single,0.28,0.73,97.1%,0.01,0.59,2014,5, 8
5362,62,▼ 8,B Belt,W Davis,0,12_,2-0,Brandon Belt struck out looking.,"Ball, Swinging Strike, Ball, Foul Ball, Ball, Strikeout Looking",Strikeout,0.33,1.32,96.1%,-0.009,-0.55,2014,5, 8
5363,63,▼ 8,J Perez,W Davis,1,12_,2-0,"Juan Perez doubled to center (Fly). Pablo Sandoval scored.
Hunter Pence scored. Juan Perez advanced to 3B on error. Error by Alcides Escobar.","Swinging Strike, Foul Ball, Ball, Ball, Foul Ball, Ball, Double",Double,0.37,0.78,99.4%,0.033,2.08,2014,5, 8
5364,64,▼ 8,B Crawford,W Davis,1,__3,4-0,Brandon Crawford singled to left (Liner). Juan Perez scored.,"Called Strike, Foul Ball, Single",Single,0.07,0.85,99.7%,0.002,0.57,2014,5, 8
5365,65,▼ 8,M Bumgarner,W Davis,1,1__,5-0,Madison Bumgarner struck out looking.,"Foul Ball, Swinging Strike, Strikeout Looking",Strikeout,0.01,0.42,99.6%,0.0,-0.24,2014,5, 8
5366,66,▼ 8,G Blanco,W Davis,2,1__,5-0,Gregor Blanco struck out looking.,"Ball, Foul Ball, Foul Ball, Ball, Strikeout Looking",Strikeout,0.02,0.18,99.6%,0.0,-0.18,2014,5, 8
5367,67,▲ 9,A Gordon,M Bumgarner,0,___,5-0,Alex Gordon flied out to right.,"Called Strike, Fly Out",Fly Out,0.11,0.38,99.9%,-0.003,-0.18,2014,5, 9
5368,68,▲ 9,L Cain,M Bumgarner,1,___,5-0,Lorenzo Cain grounded out to shortstop.,"Called Strike, Ground Out",Ground Out,0.05,0.19,100.0%,-0.001,-0.12,2014,5, 9
5369,69,▲ 9,E Hosmer,M Bumgarner,2,___,5-0,Eric Hosmer grounded out to third.,"Swinging Strike, Swinging Strike, Ball, Ball, Ball, Ground Out",Ground Out,0.01,0.08,100.0%,0.0,-0.07,2014,5, 9
5370,1,▲ 1,G Blanco,Y Ventura,0,___,0-0,Gregor Blanco homered (Fly).,"Ball, Called Strike, Ball, Foul Ball, Foul Ball, Ball, Foul Ball, Home Run",Home Run,0.87,0.47,39.8%,0.102,1.0,2014,2, 1
5371,2,▲ 1,J Panik,Y Ventura,0,___,0-1,Joe Panik flied out to right.,"Called Strike, Ball, Ball, Fly Out",Fly Out,0.78,0.47,41.7%,-0.019,-0.22,2014,2, 1
5372,3,▲ 1,B Posey,Y Ventura,1,___,0-1,Buster Posey struck out swinging.,"Called Strike, Ball, Foul Ball, Strikeout Swinging",Strikeout,0.55,0.25,43.1%,-0.014,-0.15,2014,2, 1
5373,4,▲ 1,P Sandoval,Y Ventura,2,___,0-1,Pablo Sandoval grounded out to pitcher.,"Ball, Ball, Foul Ball, Ground Out",Ground Out,0.36,0.1,44.0%,-0.009,-0.1,2014,2, 1
5374,5,▼ 1,A Escobar,J Peavy,0,___,0-1,Alcides Escobar singled to shortstop (Grounder).,"Ball, Foul Ball, Ball, Single",Single,0.93,0.47,47.8%,0.039,0.37,2014,2, 1
5375,6,▼ 1,N Aoki,J Peavy,0,1__,0-1,Nori Aoki flied out to center.,"Pickoff Throw (First Base), Called Strike, Fly Out",Fly Out,1.57,0.84,44.3%,-0.036,-0.34,2014,2, 1
5376,7,▼ 1,A Escobar,J Peavy,1,1__,0-1,Alcides Escobar was caught stealing.,,Stolen Base,1.24,0.5,40.1%,-0.042,-0.4,2014,2, 1
5377,8,▼ 1,L Cain,J Peavy,2,___,0-1,Lorenzo Cain doubled to center (Liner).,"Foul Ball, Foul Ball, Pickoff Throw (First Base), Pickoff Throw (First Base), Ball, Ball, (Caught Stealing), Ball, Foul Ball, Double",Double,0.41,0.1,42.4%,0.023,0.21,2014,2, 1
5378,9,▼ 1,E Hosmer,J Peavy,2,_2_,0-1,Eric Hosmer walked.,"Ball, Ball, Ball, Walked",Walk,1.21,0.31,43.5%,0.011,0.11,2014,2, 1
5379,10,▼ 1,B Butler,J Peavy,2,12_,0-1,Billy Butler singled to left (Grounder). Lorenzo Cain scored. Eric Hosmer advanced to 3B.,"Swinging Strike, Single",Single,1.76,0.42,54.8%,0.113,1.06,2014,2, 1
5380,11,▼ 1,A Gordon,J Peavy,2,1_3,1-1,Alex Gordon fouled out to left.,Foul Fly Out,Foul Fly Out,1.77,0.48,50.0%,-0.048,-0.48,2014,2, 1
5381,12,▲ 2,H Pence,Y Ventura,0,___,1-1,Hunter Pence flied out to center.,"Called Strike, Called Strike, Ball, Foul Ball, Fly Out",Fly Out,0.93,0.47,52.3%,-0.023,-0.22,2014,2, 2
5382,13,▲ 2,B Belt,Y Ventura,1,___,1-1,Brandon Belt struck out looking.,"Called Strike, Ball, Foul Ball, Foul Ball, Ball, Ball, Strikeout Looking",Strikeout,0.64,0.25,53.9%,-0.016,-0.15,2014,2, 2
5383,14,▲ 2,M Morse,Y Ventura,2,___,1-1,Michael Morse singled to center (Grounder).,"Ball, Single",Single,0.41,0.1,52.6%,0.013,0.12,2014,2, 2
5384,15,▲ 2,T Ishikawa,Y Ventura,2,1__,1-1,Travis Ishikawa reached on fielder's choice to shortstop. Michael Morse out at second.,"Ball, Foul Ball, Fielder's Choice",Fielders Choice,0.85,0.22,55.0%,-0.023,-0.22,2014,2, 2
5385,16,▼ 2,S Perez,J Peavy,0,___,1-1,Salvador Perez lined out to first.,"Called Strike, Line Drive",Line Out,0.92,0.47,52.7%,-0.023,-0.22,2014,2, 2
5386,17,▼ 2,O Infante,J Peavy,1,___,1-1,Omar Infante doubled to left (Liner).,"Ball, Ball, Double",Double,0.66,0.25,57.0%,0.044,0.4,2014,2, 2
5387,18,▼ 2,M Moustakas,J Peavy,1,_2_,1-1,Mike Moustakas flied out to center.,"Ball, Called Strike, Fly Out",Fly Out,1.31,0.65,53.4%,-0.036,-0.34,2014,2, 2
5388,19,▼ 2,A Escobar,J Peavy,2,_2_,1-1,Alcides Escobar doubled to right (Liner). Omar Infante scored.,Double,Double,1.24,0.31,64.8%,0.114,1.0,2014,2, 2
5389,20,▼ 2,N Aoki,J Peavy,2,_2_,2-1,Nori Aoki flied out to left.,"Foul Tip, Fly Out",Fly Out,1.06,0.31,61.9%,-0.029,-0.31,2014,2, 2
5390,21,▲ 3,B Crawford,Y Ventura,0,___,2-1,Brandon Crawford grounded out to second.,"Called Strike, Ground Out",Ground Out,1.04,0.47,64.5%,-0.026,-0.22,2014,2, 3
5391,22,▲ 3,G Blanco,Y Ventura,1,___,2-1,Gregor Blanco grounded out to first.,"Called Strike, Called Strike, Ball, Ball, Ground Out",Ground Out,0.72,0.25,66.3%,-0.018,-0.15,2014,2, 3
5392,23,▲ 3,J Panik,Y Ventura,2,___,2-1,Joe Panik singled to right (Liner).,"Called Strike, Ball, Swinging Strike, Single",Single,0.45,0.1,64.8%,0.014,0.12,2014,2, 3
5393,24,▲ 3,B Posey,Y Ventura,2,1__,2-1,Buster Posey grounded out to second.,"Foul Ball, Ground Out",Ground Out,0.94,0.22,67.4%,-0.026,-0.22,2014,2, 3
5394,25,▼ 3,L Cain,J Peavy,0,___,2-1,Lorenzo Cain flied out to right.,"Foul Ball, Ball, Swinging Strike, Ball, Fly Out",Fly Out,0.79,0.47,65.4%,-0.02,-0.22,2014,2, 3
5395,26,▼ 3,E Hosmer,J Peavy,1,___,2-1,Eric Hosmer grounded out to second.,"Ball, Called Strike, Ground Out",Ground Out,0.57,0.25,64.0%,-0.014,-0.15,2014,2, 3
5396,27,▼ 3,B Butler,J Peavy,2,___,2-1,Billy Butler flied out to center.,"Ball, Swinging Strike, Fly Out",Fly Out,0.38,0.1,63.1%,-0.01,-0.1,2014,2, 3
5397,28,▲ 4,P Sandoval,Y Ventura,0,___,2-1,Pablo Sandoval doubled to center (Fly).,Double,Double,1.15,0.47,55.2%,0.079,0.61,2014,2, 4
5398,29,▲ 4,H Pence,Y Ventura,0,_2_,2-1,Hunter Pence grounded out to shortstop.,"Called Strike, Ground Out",Ground Out,1.66,1.08,60.6%,-0.054,-0.43,2014,2, 4
5399,30,▲ 4,B Belt,Y Ventura,1,_2_,2-1,Brandon Belt doubled to right (Liner). Pablo Sandoval scored.,"Swinging Strike, Ball, Double",Double,1.62,0.65,47.6%,0.13,1.0,2014,2, 4
5400,31,▲ 4,M Morse,Y Ventura,1,_2_,2-2,Michael Morse flied out to right. Brandon Belt out at third.,"Ball, Foul Ball, Swinging Strike, Ball, Foul Ball, Ball, Foul Ball, Fly Out",Fly Out,1.54,0.65,55.8%,-0.083,-0.65,2014,2, 4
5401,32,▼ 4,A Gordon,J Peavy,0,___,2-2,Alex Gordon flied out to center.,"Called Strike, Ball, Ball, Fly Out",Fly Out,1.07,0.47,53.2%,-0.027,-0.22,2014,2, 4
5402,33,▼ 4,S Perez,J Peavy,1,___,2-2,Salvador Perez grounded out to second.,Ground Out,Ground Out,0.77,0.25,51.3%,-0.019,-0.15,2014,2, 4
5403,34,▼ 4,O Infante,J Peavy,2,___,2-2,Omar Infante grounded out to shortstop.,"Called Strike, Ground Out",Ground Out,0.51,0.1,50.0%,-0.013,-0.1,2014,2, 4
5404,35,▲ 5,T Ishikawa,Y Ventura,0,___,2-2,Travis Ishikawa singled to center (Liner).,"Ball, Called Strike, Swinging Strike, Ball, Ball, Single",Single,1.19,0.47,45.2%,0.048,0.37,2014,2, 5
5405,36,▲ 5,B Crawford,Y Ventura,0,1__,2-2,Brandon Crawford reached on fielder's choice to second. Travis Ishikawa out at second.,"Foul Ball, Ball, Ball, Fielder's Choice",Fielders Choice,1.97,0.84,49.7%,-0.044,-0.34,2014,2, 5
5406,37,▲ 5,G Blanco,Y Ventura,1,1__,2-2,Gregor Blanco flied out to second.,Fly Out,Fly Out,1.6,0.5,53.4%,-0.037,-0.28,2014,2, 5
5407,38,▲ 5,J Panik,Y Ventura,2,1__,2-2,Joe Panik flied out to center.,"Ball, Pickoff Throw (First Base), Ball, Fly Out",Fly Out,1.11,0.22,56.5%,-0.031,-0.22,2014,2, 5
5408,39,▼ 5,M Moustakas,J Peavy,0,___,2-2,Mike Moustakas grounded out to second.,"Called Strike, Ball, Ball, Ground Out",Ground Out,1.17,0.47,53.5%,-0.029,-0.22,2014,2, 5
5409,40,▼ 5,A Escobar,J Peavy,1,___,2-2,Alcides Escobar struck out swinging.,"Called Strike, Foul Ball, Strikeout Swinging",Strikeout,0.86,0.25,51.4%,-0.021,-0.15,2014,2, 5
5410,41,▼ 5,N Aoki,J Peavy,2,___,2-2,Nori Aoki flied out to center.,Fly Out,Fly Out,0.57,0.1,50.0%,-0.014,-0.1,2014,2, 5
5411,42,▲ 6,B Posey,Y Ventura,0,___,2-2,Buster Posey singled to center (Liner).,"Ball, Ball, Called Strike, Called Strike, Ball, Single",Single,1.34,0.47,44.7%,0.053,0.37,2014,2, 6
5412,43,▲ 6,P Sandoval,Y Ventura,0,1__,2-2,Pablo Sandoval flied out to right.,"Ball, Fly Out",Fly Out,2.18,0.84,49.7%,-0.049,-0.34,2014,2, 6
5413,44,▲ 6,H Pence,Y Ventura,1,1__,2-2,Hunter Pence singled to shortstop (Grounder). Buster Posey advanced to 2B.,Single,Single,1.78,0.5,44.4%,0.052,0.38,2014,2, 6
5414,45,▲ 6,B Belt,K Herrera,1,12_,2-2,Brandon Belt flied out to left.,"Swinging Strike, Foul Ball, Foul Ball, Ball, Fly Out",Fly Out,2.9,0.88,50.9%,-0.065,-0.46,2014,2, 6
5415,46,▲ 6,M Morse,K Herrera,2,12_,2-2,Michael Morse reached on fielder's choice to shortstop. Hunter Pence out at second.,"Foul Ball, Swinging Strike, Ball, Fielder's Choice",Fielders Choice,2.56,0.42,57.3%,-0.064,-0.42,2014,2, 6
5416,47,▼ 6,L Cain,J Peavy,0,___,2-2,Lorenzo Cain singled to center (Liner).,"Ball, Called Strike, Single",Single,1.31,0.47,62.4%,0.051,0.37,2014,2, 6
5417,48,▼ 6,E Hosmer,J Peavy,0,1__,2-2,Eric Hosmer walked. Lorenzo Cain advanced to 2B.,"Ball, Pickoff Throw (First Base), Ball, Ball, Called Strike, Called Strike, Pickoff Throw (First Base), Walked",Walk,2.11,0.84,70.0%,0.075,0.6,2014,2, 6
5418,49,▼ 6,B Butler,J Machi,0,12_,2-2,Billy Butler singled to left (Liner). Lorenzo Cain scored. Eric Hosmer advanced to 2B.,"Ball, Ball, Single",Single,2.51,1.44,82.5%,0.125,1.0,2014,2, 6
5419,50,▼ 6,A Gordon,J Lopez,0,12_,3-2,Alex Gordon flied out to left.,"Called Strike, Ball, Fly Out",Fly Out,1.51,1.44,78.0%,-0.045,-0.56,2014,2, 6
5420,51,▼ 6,E Hosmer,H Strickland,1,12_,3-2,Terrance Gore advanced on a wild pitch to 2B.,,Stolen Base,1.71,0.88,82.7%,0.047,0.49,2014,2, 6
5421,52,▼ 6,S Perez,H Strickland,1,_23,3-2,Salvador Perez doubled to center (Liner). Eric Hosmer scored. Terrance Gore scored.,"Foul Ball, Called Strike, Ball, (Wild Pitch), Double",Double,1.42,1.36,92.6%,0.098,1.29,2014,2, 6
5422,53,▼ 6,O Infante,H Strickland,1,_2_,5-2,Omar Infante homered (Fly). Salvador Perez scored.,"Ball, Home Run",Home Run,0.39,0.65,97.5%,0.05,1.6,2014,2, 6
5423,54,▼ 6,M Moustakas,J Affeldt,1,___,7-2,Mike Moustakas singled to center (Liner).,"Called Strike, Ball, Single",Single,0.06,0.25,97.7%,0.002,0.25,2014,2, 6
5424,55,▼ 6,A Escobar,J Affeldt,1,1__,7-2,Alcides Escobar grounded into a double play to shortstop (Grounder). Mike Moustakas out at second.,"Foul Ball, Grounded Into Double Play",Grounded Into Double Play,0.11,0.5,97.3%,-0.005,-0.5,2014,2, 6
5425,56,▲ 7,T Ishikawa,K Herrera,0,___,7-2,Travis Ishikawa struck out swinging.,"Called Strike, Called Strike, Foul Ball, Strikeout Swinging",Strikeout,0.32,0.47,98.1%,-0.008,-0.22,2014,2, 7
5426,57,▲ 7,B Crawford,K Herrera,1,___,7-2,Brandon Crawford walked.,"Foul Tip, Ball, Ball, Ball, Walked",Walk,0.19,0.25,97.2%,0.009,0.25,2014,2, 7
5427,58,▲ 7,G Blanco,K Herrera,1,1__,7-2,Gregor Blanco walked. Brandon Crawford advanced to 2B.,"Ball, Foul Ball, Ball, Ball, Walked",Walk,0.41,0.5,95.5%,0.016,0.38,2014,2, 7
5428,59,▲ 7,J Panik,K Herrera,1,12_,7-2,Joe Panik flied out to center.,"Ball, Ball, Called Strike, Fly Out",Fly Out,0.86,0.88,97.4%,-0.019,-0.46,2014,2, 7
5429,60,▲ 7,B Posey,K Herrera,2,12_,7-2,Buster Posey grounded out to second.,"Foul Ball, Foul Ball, Ball, Foul Ball, Ground Out",Ground Out,0.51,0.42,98.8%,-0.013,-0.42,2014,2, 7
5430,61,▼ 7,J Dyson,T Lincecum,0,___,7-2,Jarrod Dyson flied out to left.,"Ball, Fly Out",Fly Out,0.04,0.47,98.6%,-0.001,-0.22,2014,2, 7
5431,62,▼ 7,L Cain,T Lincecum,1,___,7-2,Lorenzo Cain grounded out to shortstop.,Ground Out,Ground Out,0.03,0.25,98.6%,-0.001,-0.15,2014,2, 7
5432,63,▼ 7,E Hosmer,T Lincecum,2,___,7-2,Eric Hosmer struck out swinging.,"Ball, Called Strike, Called Strike, Ball, Strikeout Swinging",Strikeout,0.02,0.1,98.5%,-0.001,-0.1,2014,2, 7
5433,64,▲ 8,P Sandoval,W Davis,0,___,7-2,Pablo Sandoval struck out swinging.,"Called Strike, Swinging Strike, Ball, Foul Ball, Strikeout Swinging",Strikeout,0.24,0.47,99.1%,-0.006,-0.22,2014,2, 8
5434,65,▲ 8,H Pence,W Davis,1,___,7-2,Hunter Pence out on a dropped third strike.,"Foul Ball, Swinging Strike, Foul Ball, Ball, Ball, Dropped Third Strike",Dropped Third Strike,0.13,0.25,99.4%,-0.003,-0.15,2014,2, 8
5435,66,▲ 8,B Belt,W Davis,2,___,7-2,Brandon Belt grounded out to first.,"Foul Ball, Called Strike, Ground Out",Ground Out,0.05,0.1,99.6%,-0.001,-0.1,2014,2, 8
5436,67,▼ 8,J Willingham,T Lincecum,0,___,7-2,Josh Willingham struck out swinging.,"Ball, Ball, Foul Ball, Ball, Foul Ball, Foul Ball, Strikeout Swinging",Strikeout,0.02,0.47,99.5%,0.0,-0.22,2014,2, 8
5437,68,▼ 8,A Gordon,T Lincecum,1,___,7-2,Alex Gordon fouled out to third.,"Ball, Ball, Foul Fly Out",Foul Fly Out,0.01,0.25,99.5%,0.0,-0.15,2014,2, 8
5438,69,▼ 8,S Perez,S Casilla,2,___,7-2,Salvador Perez struck out swinging.,"Ball, Swinging Strike, Foul Ball, Foul Ball, Ball, Strikeout Swinging",Strikeout,0.01,0.1,99.5%,0.0,-0.1,2014,2, 8
5439,70,▲ 9,A Susac,G Holland,0,___,7-2,Andrew Susac out on a dropped third strike.,"Called Strike, Called Strike, Foul Ball, Dropped Third Strike",Dropped Third Strike,0.14,0.47,99.8%,-0.004,-0.22,2014,2, 9
5440,71,▲ 9,T Ishikawa,G Holland,1,___,7-2,Travis Ishikawa struck out swinging.,"Called Strike, Ball, Foul Ball, Ball, Ball, Strikeout Swinging",Strikeout,0.06,0.25,100.0%,-0.002,-0.15,2014,2, 9
